userId	geneSymbol	geneName	entrezgene	gLink
BPIFA1	BPIFA1	BPI fold containing family A member 1	51297	https://www.ncbi.nlm.nih.gov/gene/?term=51297
NMBR	NMBR	neuromedin B receptor	4829	https://www.ncbi.nlm.nih.gov/gene/?term=4829
COL26A1	COL26A1	collagen type XXVI alpha 1 chain	136227	https://www.ncbi.nlm.nih.gov/gene/?term=136227
MUC5AC	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	4586	https://www.ncbi.nlm.nih.gov/gene/?term=4586
BPIFA2	BPIFA2	BPI fold containing family A member 2	140683	https://www.ncbi.nlm.nih.gov/gene/?term=140683
PRG2	PRG2	proteoglycan 2, pro eosinophil major basic protein	5553	https://www.ncbi.nlm.nih.gov/gene/?term=5553
FGFBP2	FGFBP2	fibroblast growth factor binding protein 2	83888	https://www.ncbi.nlm.nih.gov/gene/?term=83888
HRH4	HRH4	histamine receptor H4	59340	https://www.ncbi.nlm.nih.gov/gene/?term=59340
SFTPC	SFTPC	surfactant protein C	6440	https://www.ncbi.nlm.nih.gov/gene/?term=6440
OXGR1	OXGR1	oxoglutarate receptor 1	27199	https://www.ncbi.nlm.nih.gov/gene/?term=27199
SFTPA2	SFTPA2	surfactant protein A2	729238	https://www.ncbi.nlm.nih.gov/gene/?term=729238
PRG3	PRG3	proteoglycan 3, pro eosinophil major basic protein 2	10394	https://www.ncbi.nlm.nih.gov/gene/?term=10394
ESM1	ESM1	endothelial cell specific molecule 1	11082	https://www.ncbi.nlm.nih.gov/gene/?term=11082
MILR1	MILR1	mast cell immunoglobulin like receptor 1	284021	https://www.ncbi.nlm.nih.gov/gene/?term=284021
SFTPA1	SFTPA1	surfactant protein A1	653509	https://www.ncbi.nlm.nih.gov/gene/?term=653509
MUC6	MUC6	mucin 6, oligomeric mucus/gel-forming	4588	https://www.ncbi.nlm.nih.gov/gene/?term=4588
BPIFB1	BPIFB1	BPI fold containing family B member 1	92747	https://www.ncbi.nlm.nih.gov/gene/?term=92747
TPSD1	TPSD1	tryptase delta 1	23430	https://www.ncbi.nlm.nih.gov/gene/?term=23430
LYPD8	LYPD8	LY6/PLAUR domain containing 8	646627	https://www.ncbi.nlm.nih.gov/gene/?term=646627
CRNN	CRNN	cornulin	49860	https://www.ncbi.nlm.nih.gov/gene/?term=49860
SPAG17	SPAG17	sperm associated antigen 17	200162	https://www.ncbi.nlm.nih.gov/gene/?term=200162
SLPI	SLPI	secretory leukocyte peptidase inhibitor	6590	https://www.ncbi.nlm.nih.gov/gene/?term=6590
PI3	PI3	peptidase inhibitor 3	5266	https://www.ncbi.nlm.nih.gov/gene/?term=5266
TFF2	TFF2	trefoil factor 2	7032	https://www.ncbi.nlm.nih.gov/gene/?term=7032
DEFA4	DEFA4	defensin alpha 4	1669	https://www.ncbi.nlm.nih.gov/gene/?term=1669
MMP12	MMP12	matrix metallopeptidase 12	4321	https://www.ncbi.nlm.nih.gov/gene/?term=4321
ANXA1	ANXA1	annexin A1	301	https://www.ncbi.nlm.nih.gov/gene/?term=301
C12orf4	C12orf4	chromosome 12 open reading frame 4	57102	https://www.ncbi.nlm.nih.gov/gene/?term=57102
