userId	geneSymbol	geneName	entrezgene	gLink
TSLP	TSLP	thymic stromal lymphopoietin	85480	https://www.ncbi.nlm.nih.gov/gene/?term=85480
IL25	IL25	interleukin 25	64806	https://www.ncbi.nlm.nih.gov/gene/?term=64806
IL17F	IL17F	interleukin 17F	112744	https://www.ncbi.nlm.nih.gov/gene/?term=112744
IL36RN	IL36RN	interleukin 36 receptor antagonist	26525	https://www.ncbi.nlm.nih.gov/gene/?term=26525
IL33	IL33	interleukin 33	90865	https://www.ncbi.nlm.nih.gov/gene/?term=90865
IL36G	IL36G	interleukin 36 gamma	56300	https://www.ncbi.nlm.nih.gov/gene/?term=56300
IL36A	IL36A	interleukin 36 alpha	27179	https://www.ncbi.nlm.nih.gov/gene/?term=27179
CSF2	CSF2	colony stimulating factor 2	1437	https://www.ncbi.nlm.nih.gov/gene/?term=1437
IL17RC	IL17RC	interleukin 17 receptor C	84818	https://www.ncbi.nlm.nih.gov/gene/?term=84818
IL18BP	IL18BP	interleukin 18 binding protein	10068	https://www.ncbi.nlm.nih.gov/gene/?term=10068
CMIP	CMIP	c-Maf inducing protein	80790	https://www.ncbi.nlm.nih.gov/gene/?term=80790
IL36B	IL36B	interleukin 36 beta	27177	https://www.ncbi.nlm.nih.gov/gene/?term=27177
STAT4	STAT4	signal transducer and activator of transcription 4	6775	https://www.ncbi.nlm.nih.gov/gene/?term=6775
IL37	IL37	interleukin 37	27178	https://www.ncbi.nlm.nih.gov/gene/?term=27178
IL22	IL22	interleukin 22	50616	https://www.ncbi.nlm.nih.gov/gene/?term=50616
IL9R	IL9R	interleukin 9 receptor	3581	https://www.ncbi.nlm.nih.gov/gene/?term=3581
IL20	IL20	interleukin 20	50604	https://www.ncbi.nlm.nih.gov/gene/?term=50604
IFNGR2	IFNGR2	interferon gamma receptor 2	3460	https://www.ncbi.nlm.nih.gov/gene/?term=3460
IL18RAP	IL18RAP	interleukin 18 receptor accessory protein	8807	https://www.ncbi.nlm.nih.gov/gene/?term=8807
IL22RA2	IL22RA2	interleukin 22 receptor subunit alpha 2	116379	https://www.ncbi.nlm.nih.gov/gene/?term=116379
STAT6	STAT6	signal transducer and activator of transcription 6	6778	https://www.ncbi.nlm.nih.gov/gene/?term=6778
FCER1G	FCER1G	Fc fragment of IgE receptor Ig	2207	https://www.ncbi.nlm.nih.gov/gene/?term=2207
IL17RA	IL17RA	interleukin 17 receptor A	23765	https://www.ncbi.nlm.nih.gov/gene/?term=23765
IL12RB1	IL12RB1	interleukin 12 receptor subunit beta 1	3594	https://www.ncbi.nlm.nih.gov/gene/?term=3594
IL1RL2	IL1RL2	interleukin 1 receptor like 2	8808	https://www.ncbi.nlm.nih.gov/gene/?term=8808
IL23A	IL23A	interleukin 23 subunit alpha	51561	https://www.ncbi.nlm.nih.gov/gene/?term=51561
CCL13	CCL13	C-C motif chemokine ligand 13	6357	https://www.ncbi.nlm.nih.gov/gene/?term=6357
CXCL8	CXCL8	C-X-C motif chemokine ligand 8	3576	https://www.ncbi.nlm.nih.gov/gene/?term=3576
IL1F10	IL1F10	interleukin 1 family member 10	84639	https://www.ncbi.nlm.nih.gov/gene/?term=84639
IL12RB2	IL12RB2	interleukin 12 receptor subunit beta 2	3595	https://www.ncbi.nlm.nih.gov/gene/?term=3595
IL19	IL19	interleukin 19	29949	https://www.ncbi.nlm.nih.gov/gene/?term=29949
TBX21	TBX21	T-box 21	30009	https://www.ncbi.nlm.nih.gov/gene/?term=30009
IL1R2	IL1R2	interleukin 1 receptor type 2	7850	https://www.ncbi.nlm.nih.gov/gene/?term=7850
IL31RA	IL31RA	interleukin 31 receptor A	133396	https://www.ncbi.nlm.nih.gov/gene/?term=133396
GAB2	GAB2	GRB2 associated binding protein 2	9846	https://www.ncbi.nlm.nih.gov/gene/?term=9846
IL23R	IL23R	interleukin 23 receptor	149233	https://www.ncbi.nlm.nih.gov/gene/?term=149233
EBI3	EBI3	Epstein-Barr virus induced 3	10148	https://www.ncbi.nlm.nih.gov/gene/?term=10148
IFNLR1	IFNLR1	interferon lambda receptor 1	163702	https://www.ncbi.nlm.nih.gov/gene/?term=163702
IL20RA	IL20RA	interleukin 20 receptor subunit alpha	53832	https://www.ncbi.nlm.nih.gov/gene/?term=53832
IFNA2	IFNA2	interferon alpha 2	3440	https://www.ncbi.nlm.nih.gov/gene/?term=3440
STAT1	STAT1	signal transducer and activator of transcription 1	6772	https://www.ncbi.nlm.nih.gov/gene/?term=6772
FNDC4	FNDC4	fibronectin type III domain containing 4	64838	https://www.ncbi.nlm.nih.gov/gene/?term=64838
IL2RG	IL2RG	interleukin 2 receptor subunit gamma	3561	https://www.ncbi.nlm.nih.gov/gene/?term=3561
IL17RB	IL17RB	interleukin 17 receptor B	55540	https://www.ncbi.nlm.nih.gov/gene/?term=55540
IL2RA	IL2RA	interleukin 2 receptor subunit alpha	3559	https://www.ncbi.nlm.nih.gov/gene/?term=3559
